symbol,company_name,stock_id,detail_url
AIAENG,aia-engineering-ltd,46,https://trendlyne.com/equity/46/AIAENG/aia-engineering-ltd/
SUPREMEIND,supreme-industries-ltd,1324,https://trendlyne.com/equity/1324/SUPREMEIND/supreme-industries-ltd/
WELCORP,welspun-corp-ltd,1514,https://trendlyne.com/equity/1514/WELCORP/welspun-corp-ltd/
GLAXO,glaxosmithkline-pharmaceuticals-ltd,463,https://trendlyne.com/equity/463/GLAXO/glaxosmithkline-pharmaceuticals-ltd/
ASTERDM,aster-dm-healthcare-ltd,77534,https://trendlyne.com/equity/77534/ASTERDM/aster-dm-healthcare-ltd/
CPPLUS,aditya-infotech-ltd,3195212,https://trendlyne.com/equity/3195212/CPPLUS/aditya-infotech-ltd/
PETRONET,petronet-lng-ltd,1025,https://trendlyne.com/equity/1025/PETRONET/petronet-lng-ltd/
GLAND,gland-pharma-ltd,338662,https://trendlyne.com/equity/338662/GLAND/gland-pharma-ltd/
NLCINDIA,nlc-india-ltd,935,https://trendlyne.com/equity/935/NLCINDIA/nlc-india-ltd/
POONAWALLA,poonawalla-fincorp-ltd,813,https://trendlyne.com/equity/813/POONAWALLA/poonawalla-fincorp-ltd/
NH,narayana-hrudayalaya-ltd,1886,https://trendlyne.com/equity/1886/NH/narayana-hrudayalaya-ltd/
PIIND,pi-industries-ltd,1038,https://trendlyne.com/equity/1038/PIIND/pi-industries-ltd/
NAVINFLUOR,navin-fluorine-international-ltd,914,https://trendlyne.com/equity/914/NAVINFLUOR/navin-fluorine-international-ltd/
HSCL,himadri-speciality-chemical-ltd,529,https://trendlyne.com/equity/529/HSCL/himadri-speciality-chemical-ltd/
HUDCO,housing-and-urban-development-corporation-ltd,54143,https://trendlyne.com/equity/54143/HUDCO/housing-and-urban-development-corporation-ltd/
IRCTC,indian-railway-catering-tourism-corporation-ltd,167028,https://trendlyne.com/equity/167028/IRCTC/indian-railway-catering-tourism-corporation-ltd/
3MINDIA,3m-india-ltd,10,https://trendlyne.com/equity/10/3MINDIA/3m-india-ltd/
BALKRISIND,balkrishna-industries-ltd,153,https://trendlyne.com/equity/153/BALKRISIND/balkrishna-industries-ltd/
PWL,physicswallah-ltd,3321514,https://trendlyne.com/equity/3321514/PWL/physicswallah-ltd/
ENDURANCE,endurance-technologies-ltd,4797,https://trendlyne.com/equity/4797/ENDURANCE/endurance-technologies-ltd/
ASTRAL,astral-ltd,122,https://trendlyne.com/equity/122/ASTRAL/astral-ltd/
EXIDEIND,exide-industries-ltd,404,https://trendlyne.com/equity/404/EXIDEIND/exide-industries-ltd/
KPRMILL,kpr-mill-ltd,764,https://trendlyne.com/equity/764/KPRMILL/kpr-mill-ltd/
CONCOR,container-corporation-of-india-ltd,279,https://trendlyne.com/equity/279/CONCOR/container-corporation-of-india-ltd/
UBL,united-breweries-ltd,1437,https://trendlyne.com/equity/1437/UBL/united-breweries-ltd/
PATANJALI,patanjali-foods-ltd,1157,https://trendlyne.com/equity/1157/PATANJALI/patanjali-foods-ltd/
COCHINSHIP,cochin-shipyard-ltd,57095,https://trendlyne.com/equity/57095/COCHINSHIP/cochin-shipyard-ltd/
EMCURE,emcure-pharmaceuticals-ltd,2393790,https://trendlyne.com/equity/2393790/EMCURE/emcure-pharmaceuticals-ltd/
DELHIVERY,delhivery-ltd,888524,https://trendlyne.com/equity/888524/DELHIVERY/delhivery-ltd/
MEDANTA,global-health-ltd,1108489,https://trendlyne.com/equity/1108489/MEDANTA/global-health-ltd/
LTTS,l-t-technology-services-ltd,4708,https://trendlyne.com/equity/4708/LTTS/l-t-technology-services-ltd/
BLUESTARCO,blue-star-ltd,209,https://trendlyne.com/equity/209/BLUESTARCO/blue-star-ltd/
DALBHARAT,dalmia-bharat-ltd,120412,https://trendlyne.com/equity/120412/DALBHARAT/dalmia-bharat-ltd/
ANANDRATHI,anand-rathi-wealth-ltd,747241,https://trendlyne.com/equity/747241/ANANDRATHI/anand-rathi-wealth-ltd/
STARHEALTH,star-health-and-allied-insurance-company-ltd,746520,https://trendlyne.com/equity/746520/STARHEALTH/star-health-and-allied-insurance-company-ltd/
NUVAMA,nuvama-wealth-management-ltd,1715909,https://trendlyne.com/equity/1715909/NUVAMA/nuvama-wealth-management-ltd/
ITCHOTELS,itc-hotels-ltd,2956218,https://trendlyne.com/equity/2956218/ITCHOTELS/itc-hotels-ltd/
HONAUT,honeywell-automation-india-ltd,569,https://trendlyne.com/equity/569/HONAUT/honeywell-automation-india-ltd/
